view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories
5181235,91920.0,6735.0,1011.0,37.0,20109,34,11,8,16
3495645,38670.0,2883.0,225.0,29.0,27215,6,41,19,16
186064,23294.0,522.0,25.0,50.0,2058,5,0,0,17
550054,12874.0,316.0,25.0,50.0,5106,1,0,0,17
1040275,40895.0,2574.0,253.0,34.0,11184,39,0,0,17
4523535,35587.0,6322.0,498.0,34.0,40528,10,0,0,17
5796741,31837.0,3356.0,411.0,35.0,44272,22,0,0,17
271038,33059.0,867.0,151.0,11.0,2461,5,1,1,17
213773,17990.0,476.0,25.0,50.0,3934,11,1,1,17
4524856,57451.0,1665.0,112.0,28.0,40349,13,1,1,17
532438,56405.0,1753.0,127.0,20.0,5972,11,3,2,17
2537261,92349.0,3142.0,59.0,10.0,35126,8,8,2,17
6738868,74085.0,1826.0,130.0,19.0,32884,19,3,3,17
11557598,74924.0,5468.0,684.0,58.0,69303,15,5,3,17
1119139,68456.0,10761.0,478.0,20.0,11582,39,7,4,17
10603884,54350.0,3656.0,508.0,96.0,384144,40,7,5,17
706742,82852.0,1861.0,165.0,29.0,9822,1,10,5,17
3594628,104628.0,6807.0,320.0,50.0,51519,49,12,5,17
43579777,160306.0,9424.0,484.0,25.0,190762,31,12,5,17
67497797,315549.0,22265.0,942.0,155.0,338093,40,72,11,17
401824,18822.0,592.0,45.0,4.0,3327,11,0,0,18
825267,54661.0,1795.0,178.0,20.0,8975,4,0,0,18
9382102,74774.0,3695.0,548.0,55.0,61283,38,0,0,18
220088,34012.0,538.0,36.0,3.0,1359,4,1,1,18
1677603,143272.0,4270.0,314.0,16.0,7521,34,1,1,18
15604902,166115.0,7200.0,423.0,56.0,129286,32,2,1,18
5725036,43104.0,4007.0,379.0,39.0,40233,15,4,1,18
2044228,20366.0,3693.0,209.0,8.0,18097,5,2,2,18
22504820,147998.0,6509.0,492.0,18.0,198451,2,2,2,18
1523941,30894.0,1326.0,250.0,30.0,16092,18,6,3,18
12497506,27801.0,4118.0,415.0,17.0,177219,4,4,4,18
2671883,81108.0,2139.0,292.0,47.0,34506,33,7,4,18
1384373,94061.0,15983.0,1595.0,25.0,12064,109,8,5,18
17453,4458.0,404.0,25.0,50.0,180,12,14,7,18
15235947,137744.0,5328.0,282.0,53.0,93752,41,17,12,18
797312,44899.0,2515.0,70.0,8.0,16707,1,17,15,18
6456090,95382.0,15285.0,599.0,73.0,116724,63,68,39,18
1115033,15385.0,2897.0,90.0,2.0,11969,4,0,0,19
4128877,67235.0,3996.0,366.0,29.0,32097,28,1,1,19
4262082,159341.0,6650.0,204.0,11.0,46114,7,1,1,19
7371353,107366.0,2543.0,93.0,13.0,83573,6,1,1,19
2875630,34917.0,2117.0,203.0,13.0,32683,16,2,2,19
633577,111483.0,2484.0,121.0,9.0,5448,16,3,3,19
3755481,60155.0,2872.0,256.0,25.0,41473,7,3,3,19
6617711,135196.0,5022.0,589.0,47.0,46220,32,3,3,19
3099898,66576.0,3519.0,187.0,6.0,20532,9,4,4,19
10376263,98833.0,8761.0,728.0,16.0,140047,25,5,4,19
8821963,211801.0,3422.0,190.0,33.0,61452,10,20,13,19
10346632,50327.0,6019.0,508.0,44.0,184566,9,23,15,19
24249720,109151.0,9538.0,1211.0,100.0,1234303,35,56,15,19
852973,116820.0,5384.0,155.0,20.0,12986,30,161,20,19
4363070,203205.0,8742.0,165.0,25.0,87532,10,30,22,19
8461552,45830.0,3107.0,253.0,17.0,243079,6,47,25,19
7299984,38011.0,1905.0,353.0,46.0,202524,12,40,29,19
8385,2196.0,14.0,25.0,50.0,55,0,0,0,20
17398,5966.0,83.0,25.0,50.0,70,1,0,0,20
98258,7824.0,137.0,25.0,50.0,1429,1,0,0,20
3199524,52245.0,5239.0,186.0,22.0,34383,24,0,0,20
258831,26280.0,866.0,62.0,8.0,3778,6,1,1,20
2790557,41680.0,3120.0,203.0,16.0,20769,12,1,1,20
1444229,51589.0,2238.0,115.0,5.0,16327,20,2,2,20
6609451,50739.0,3207.0,378.0,35.0,48875,14,3,2,20
5693919,61469.0,4769.0,979.0,85.0,57763,27,7,4,20
1953274,65153.0,3113.0,277.0,25.0,22181,56,25,7,20
16162934,111079.0,7001.0,977.0,104.0,307634,33,13,9,20
8386913,55491.0,4081.0,285.0,29.0,89531,5,31,9,20
1587865,50793.0,4372.0,159.0,22.0,20774,19,18,11,20
23659748,232017.0,18857.0,2099.0,154.0,222854,75,32,14,20
6290265,148340.0,7451.0,492.0,41.0,510782,60,25,19,20
18865,34276.0,582.0,34.0,5.0,81,1,0,0,21
493832,42137.0,1868.0,221.0,11.0,6959,13,1,1,21
3129578,52046.0,5084.0,357.0,26.0,28176,53,2,1,21
4595405,133536.0,4367.0,336.0,32.0,19170,14,4,3,21
5518781,47431.0,3264.0,390.0,31.0,51790,4,4,4,21
4103984,120966.0,6462.0,406.0,44.0,36054,16,6,6,21
